Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2019,Aguascalientes,Mujeres,De 45 a 54 años,8003001,1.4336642600703902
2018,Aguascalientes,Mujeres,De 45 a 54 años,8003001,1.5519675676701898
2017,Aguascalientes,Mujeres,De 45 a 54 años,8003001,1.54687376453054
2016,Aguascalientes,Mujeres,De 45 a 54 años,8003001,0.987827773182796
2015,Aguascalientes,Mujeres,De 45 a 54 años,8003001,1.3542890739982203
2020,Aguascalientes,Mujeres,De 55 a 59 años,8003001,1.0026735804271902
2019,Aguascalientes,Mujeres,De 55 a 59 años,8003001,0.975612348449858
2018,Aguascalientes,Mujeres,De 55 a 59 años,8003001,1.0565586226877797
2017,Aguascalientes,Mujeres,De 55 a 59 años,8003001,1.16471353304524
2016,Aguascalientes,Mujeres,De 55 a 59 años,8003001,0.715436056376189
2015,Aguascalientes,Mujeres,De 55 a 59 años,8003001,0.959256625503586
2020,Aguascalientes,Mujeres,De 60 años y más,8003001,0.447415180620314
2019,Aguascalientes,Mujeres,De 60 años y más,8003001,0.4396876461459729
2018,Aguascalientes,Mujeres,De 60 años y más,8003001,0.4712837611449339
2017,Aguascalientes,Mujeres,De 60 años y más,8003001,0.592142561117354
2016,Aguascalientes,Mujeres,De 60 años y más,8003001,0.4340566951556789
2015,Aguascalientes,Mujeres,De 60 años y más,8003001,0.584113406972875
2020,Baja California,Total,Total,8003002,1.0
2019,Baja California,Total,Total,8003002,1.0
2018,Baja California,Total,Total,8003002,1.0
2017,Baja California,Total,Total,8003002,1.0
2016,Baja California,Total,Total,8003002,1.0
2015,Baja California,Total,Total,8003002,1.0
2020,Baja California,Total,Menores de 25 años,8003002,0.093568247647239
2019,Baja California,Total,Menores de 25 años,8003002,0.113958127729992
2018,Baja California,Total,Menores de 25 años,8003002,0.17192127049015
2017,Baja California,Total,Menores de 25 años,8003002,0.11084532661274
2016,Baja California,Total,Menores de 25 años,8003002,0.1130274292901769
2015,Baja California,Total,Menores de 25 años,8003002,0.100254308944851
2020,Baja California,Total,De 25 a 34 años,8003002,0.819966345464743
2019,Baja California,Total,De 25 a 34 años,8003002,0.8367366384627719
2018,Baja California,Total,De 25 a 34 años,8003002,0.9205156531672698
