Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2019,"Morelos","En áreas menos urbanizadas",,,17,6.665044234
2018,"Morelos","En áreas menos urbanizadas",,,17,6.049335396
2017,"Morelos","En áreas menos urbanizadas",,,17,7.165847951
2022,"Nayarit","En áreas menos urbanizadas",,,18,7.064119455
2021,"Nayarit","En áreas menos urbanizadas",,,18,6.814931627
2020,"Nayarit","En áreas menos urbanizadas",,,18,8.078722375
2019,"Nayarit","En áreas menos urbanizadas",,,18,10.11862914
2018,"Nayarit","En áreas menos urbanizadas",,,18,8.871184317
2017,"Nayarit","En áreas menos urbanizadas",,,18,8.563673585
2022,"Nuevo León","En áreas menos urbanizadas",,,19,7.15972052
2021,"Nuevo León","En áreas menos urbanizadas",,,19,6.376395079
2020,"Nuevo León","En áreas menos urbanizadas",,,19,6.422539683
2019,"Nuevo León","En áreas menos urbanizadas",,,19,7.346650871
2018,"Nuevo León","En áreas menos urbanizadas",,,19,7.104344543
2017,"Nuevo León","En áreas menos urbanizadas",,,19,9.144212545
2022,"Oaxaca","En áreas menos urbanizadas",,,20,8.156794775
2021,"Oaxaca","En áreas menos urbanizadas",,,20,9.357606426
2020,"Oaxaca","En áreas menos urbanizadas",,,20,8.362212777
2019,"Oaxaca","En áreas menos urbanizadas",,,20,7.726101877
2018,"Oaxaca","En áreas menos urbanizadas",,,20,7.41710011
2017,"Oaxaca","En áreas menos urbanizadas",,,20,7.670822134
2022,"Puebla","En áreas menos urbanizadas",,,21,7.781499584
2021,"Puebla","En áreas menos urbanizadas",,,21,9.843402515
2020,"Puebla","En áreas menos urbanizadas",,,21,11.58515244
2019,"Puebla","En áreas menos urbanizadas",,,21,9.270369493
2018,"Puebla","En áreas menos urbanizadas",,,21,8.418146547
2017,"Puebla","En áreas menos urbanizadas",,,21,8.324473805
2022,"Querétaro","En áreas menos urbanizadas",,,22,8.242336282
2021,"Querétaro","En áreas menos urbanizadas",,,22,10.07230926
2020,"Querétaro","En áreas menos urbanizadas",,,22,10.21286206
2019,"Querétaro","En áreas menos urbanizadas",,,22,6.434905181
2018,"Querétaro","En áreas menos urbanizadas",,,22,5.685658205
2017,"Querétaro","En áreas menos urbanizadas",,,22,6.55120449
2022,"Quintana Roo","En áreas menos urbanizadas",,,23,5.529209622
2021,"Quintana Roo","En áreas menos urbanizadas",,,23,11.01334376
