Year,Sexo (t-h-m-na),Residencia habitual fuera de México o no especificada,Value
2011,No especificado,Otros países,0
2010,No especificado,Otros países,0
2009,No especificado,Otros países,0
2008,No especificado,Otros países,0
2007,No especificado,Otros países,0
2006,No especificado,Otros países,0
2005,No especificado,Otros países,0
2004,No especificado,Otros países,0
2003,No especificado,Otros países,0
2002,No especificado,Otros países,0
2001,No especificado,Otros países,0
2000,No especificado,Otros países,0
1999,No especificado,Otros países,0
1998,No especificado,Otros países,0
1997,No especificado,Otros países,0
1996,No especificado,Otros países,0
1995,No especificado,Otros países,0
1994,No especificado,Otros países,0
1993,No especificado,Otros países,0
1992,No especificado,Otros países,0
1991,No especificado,Otros países,0
1990,No especificado,Otros países,0
2020,No especificado,No especificado,2
2019,No especificado,No especificado,4
2018,No especificado,No especificado,3
2017,No especificado,No especificado,2
2016,No especificado,No especificado,0
2015,No especificado,No especificado,0
2014,No especificado,No especificado,0
2013,No especificado,No especificado,0
2012,No especificado,No especificado,0
2011,No especificado,No especificado,0
2010,No especificado,No especificado,0
2009,No especificado,No especificado,0
2008,No especificado,No especificado,0
2007,No especificado,No especificado,0
2006,No especificado,No especificado,0
2005,No especificado,No especificado,0
2004,No especificado,No especificado,0
2003,No especificado,No especificado,0
2002,No especificado,No especificado,0
2001,No especificado,No especificado,0
2000,No especificado,No especificado,0
1999,No especificado,No especificado,0
1998,No especificado,No especificado,0
1997,No especificado,No especificado,0
1996,No especificado,No especificado,0
1995,No especificado,No especificado,0
1994,No especificado,No especificado,0
1993,No especificado,No especificado,0
1992,No especificado,No especificado,0
1991,No especificado,No especificado,0
1990,No especificado,No especificado,0
